_uid_,origin_id,origin_x,origin_y,parkid,destination_id,destination_x,destination_y
"423","371830501001046",-78.6326427455655,35.781658653383,"110",Nash Square,-78.642675328997,35.7777350642707
"424","371830501001044",-78.633860679937,35.7830498494914,"136",Mordecai Square,-78.6331193844119,35.7928402478639
"425","371830501001044",-78.633860679937,35.7830498494914,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"426","371830501001044",-78.633860679937,35.7830498494914,"201",Market Plaza,-78.6387365990624,35.777261555425
"427","371830501001044",-78.633860679937,35.7830498494914,"183",John Winters,-78.6313212766575,35.7776123734814
"428","371830501001044",-78.633860679937,35.7830498494914,"44",Halifax,-78.6388283924893,35.7935452317092
"429","371830501001044",-78.633860679937,35.7830498494914,"110",Nash Square,-78.642675328997,35.7777350642707
"430","371830501001044",-78.633860679937,35.7830498494914,"87",Tarboro Road,-78.6228569611736,35.7813128628773
"431","371830501001044",-78.633860679937,35.7830498494914,"164",City Plaza,-78.6394171776381,35.7743682431217
"432","371830501001044",-78.633860679937,35.7830498494914,"42",Oakwood,-78.6241177660321,35.7909297007275
"433","371830501001044",-78.633860679937,35.7830498494914,"10",Mordecai,-78.6351971826335,35.7958555703911
"434","371830501001044",-78.633860679937,35.7830498494914,"161",O'Rorke-Catholic Cemetery,-78.6216783622287,35.7829970496351
"435","371830501001045",-78.6325869403712,35.7830005420579,"87",Tarboro Road,-78.6228569611736,35.7813128628773
"436","371830501001045",-78.6325869403712,35.7830005420579,"136",Mordecai Square,-78.6331193844119,35.7928402478639
"437","371830501001045",-78.6325869403712,35.7830005420579,"161",O'Rorke-Catholic Cemetery,-78.6216783622287,35.7829970496351
"438","371830501001045",-78.6325869403712,35.7830005420579,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"439","371830501001045",-78.6325869403712,35.7830005420579,"184",Patterson Green,-78.6313222107783,35.773350732262
"440","371830501001045",-78.6325869403712,35.7830005420579,"201",Market Plaza,-78.6387365990624,35.777261555425
"441","371830501001045",-78.6325869403712,35.7830005420579,"16",Chavis,-78.6300507419281,35.7702856126247
"442","371830501001045",-78.6325869403712,35.7830005420579,"110",Nash Square,-78.642675328997,35.7777350642707
"443","371830501001048",-78.633973447013,35.7806136245667,"201",Market Plaza,-78.6387365990624,35.777261555425
"444","371830501001045",-78.6325869403712,35.7830005420579,"42",Oakwood,-78.6241177660321,35.7909297007275
"445","371830501001045",-78.6325869403712,35.7830005420579,"46",John P Top Greene,-78.6332637635309,35.7694914769703
"446","371830501001045",-78.6325869403712,35.7830005420579,"44",Halifax,-78.6388283924893,35.7935452317092
"447","371830501001045",-78.6325869403712,35.7830005420579,"164",City Plaza,-78.6394171776381,35.7743682431217
"448","371830501001046",-78.6326427455655,35.781658653383,"87",Tarboro Road,-78.6228569611736,35.7813128628773
"449","371830501001046",-78.6326427455655,35.781658653383,"184",Patterson Green,-78.6313222107783,35.773350732262
"450","371830501001046",-78.6326427455655,35.781658653383,"16",Chavis,-78.6300507419281,35.7702856126247
"451","371830501001046",-78.6326427455655,35.781658653383,"161",O'Rorke-Catholic Cemetery,-78.6216783622287,35.7829970496351
"452","371830501001046",-78.6326427455655,35.781658653383,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"453","371830501001046",-78.6326427455655,35.781658653383,"201",Market Plaza,-78.6387365990624,35.777261555425
"454","371830501001046",-78.6326427455655,35.781658653383,"46",John P Top Greene,-78.6332637635309,35.7694914769703
"455","371830501001046",-78.6326427455655,35.781658653383,"136",Mordecai Square,-78.6331193844119,35.7928402478639
"456","371830501001046",-78.6326427455655,35.781658653383,"164",City Plaza,-78.6394171776381,35.7743682431217
