_uid_,origin_id,origin_x,origin_y,parkid,destination_id,destination_x,destination_y
"4483","371830509003014",-78.6290706472693,35.76698710866,"104",Walnut Terrace,-78.6406429059097,35.7666901928436
"4484","371830510001000",-78.6472243451038,35.780331904368,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"4485","371830510001000",-78.6472243451038,35.780331904368,"201",Market Plaza,-78.6387365990624,35.777261555425
"4486","371830510001000",-78.6472243451038,35.780331904368,"8",Lenoir Street,-78.6487520483036,35.7735459886
"4487","371830510001000",-78.6472243451038,35.780331904368,"132",New Bern Place,-78.6354632662129,35.7800577635566
"4488","371830510001000",-78.6472243451038,35.780331904368,"138",Moore Square,-78.6357914989622,35.7775077730582
"4489","371830510001000",-78.6472243451038,35.780331904368,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4490","371830510001000",-78.6472243451038,35.780331904368,"85",Fred Fletcher,-78.6494000908273,35.7925485438552
"4491","371830510001000",-78.6472243451038,35.780331904368,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4492","371830510001000",-78.6472243451038,35.780331904368,"164",City Plaza,-78.6394171776381,35.7743682431217
"4493","371830510001000",-78.6472243451038,35.780331904368,"32",Pullen,-78.663684359216,35.7806932094946
"4494","371830510001000",-78.6472243451038,35.780331904368,"108",City Cemetery,-78.6312874693512,35.7790634507114
"4495","371830510001001",-78.6483737355306,35.7803504248779,"8",Lenoir Street,-78.6487520483036,35.7735459886
"4496","371830510001001",-78.6483737355306,35.7803504248779,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"4497","371830510001001",-78.6483737355306,35.7803504248779,"201",Market Plaza,-78.6387365990624,35.777261555425
"4498","371830510001001",-78.6483737355306,35.7803504248779,"85",Fred Fletcher,-78.6494000908273,35.7925485438552
"4499","371830510001001",-78.6483737355306,35.7803504248779,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4500","371830510001001",-78.6483737355306,35.7803504248779,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4501","371830510001001",-78.6483737355306,35.7803504248779,"138",Moore Square,-78.6357914989622,35.7775077730582
"4502","371830510001001",-78.6483737355306,35.7803504248779,"32",Pullen,-78.663684359216,35.7806932094946
"4503","371830510001001",-78.6483737355306,35.7803504248779,"164",City Plaza,-78.6394171776381,35.7743682431217
"4504","371830510001002",-78.6498527217977,35.7803993458631,"8",Lenoir Street,-78.6487520483036,35.7735459886
"4505","371830510001002",-78.6498527217977,35.7803993458631,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4506","371830510001002",-78.6498527217977,35.7803993458631,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"4507","371830510001002",-78.6498527217977,35.7803993458631,"201",Market Plaza,-78.6387365990624,35.777261555425
"4508","371830510001002",-78.6498527217977,35.7803993458631,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4509","371830510001002",-78.6498527217977,35.7803993458631,"132",New Bern Place,-78.6354632662129,35.7800577635566
"4510","371830510001002",-78.6498527217977,35.7803993458631,"85",Fred Fletcher,-78.6494000908273,35.7925485438552
"4511","371830510001002",-78.6498527217977,35.7803993458631,"32",Pullen,-78.663684359216,35.7806932094946
"4512","371830510001002",-78.6498527217977,35.7803993458631,"138",Moore Square,-78.6357914989622,35.7775077730582
"4513","371830510001002",-78.6498527217977,35.7803993458631,"164",City Plaza,-78.6394171776381,35.7743682431217
"4514","371830510001003",-78.6513953231365,35.7804647439378,"110",Nash Square,-78.642675328997,35.7777350642707
"4515","371830510001003",-78.6513953231365,35.7804647439378,"32",Pullen,-78.663684359216,35.7806932094946
"4516","371830510001003",-78.6513953231365,35.7804647439378,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4517","371830510001003",-78.6513953231365,35.7804647439378,"8",Lenoir Street,-78.6487520483036,35.7735459886
"4518","371830514002000",-78.6706542329381,35.7957396937426,"78",Pollock,-78.6799405996253,35.7947562604373
"4519","371830510001003",-78.6513953231365,35.7804647439378,"85",Fred Fletcher,-78.6494000908273,35.7925485438552
"4520","371830510001003",-78.6513953231365,35.7804647439378,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4521","371830510001003",-78.6513953231365,35.7804647439378,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"4522","371830510001003",-78.6513953231365,35.7804647439378,"201",Market Plaza,-78.6387365990624,35.777261555425
"4523","371830510001003",-78.6513953231365,35.7804647439378,"132",New Bern Place,-78.6354632662129,35.7800577635566
"4524","371830510001003",-78.6513953231365,35.7804647439378,"138",Moore Square,-78.6357914989622,35.7775077730582
"4525","371830510001003",-78.6513953231365,35.7804647439378,"9",Compiegne,-78.6661994216203,35.7881857426524
"4526","371830510001004",-78.6529539310247,35.7806620234476,"32",Pullen,-78.663684359216,35.7806932094946
"4527","371830510001004",-78.6529539310247,35.7806620234476,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4528","371830510001004",-78.6529539310247,35.7806620234476,"8",Lenoir Street,-78.6487520483036,35.7735459886
"4529","371830510001005",-78.654673375916,35.7810596926301,"32",Pullen,-78.663684359216,35.7806932094946
"4530","371830510001005",-78.654673375916,35.7810596926301,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4531","371830510001005",-78.654673375916,35.7810596926301,"110",Nash Square,-78.642675328997,35.7777350642707
"4532","371830510001005",-78.654673375916,35.7810596926301,"9",Compiegne,-78.6661994216203,35.7881857426524
"4533","371830510001006",-78.6562151394296,35.7820028262826,"32",Pullen,-78.663684359216,35.7806932094946
"4534","371830510001006",-78.6562151394296,35.7820028262826,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4535","371830510001006",-78.6562151394296,35.7820028262826,"9",Compiegne,-78.6661994216203,35.7881857426524
"4536","371830510001006",-78.6562151394296,35.7820028262826,"110",Nash Square,-78.642675328997,35.7777350642707
"4537","371830510001007",-78.657397943314,35.7827559422541,"9",Compiegne,-78.6661994216203,35.7881857426524
"4538","371830510001007",-78.657397943314,35.7827559422541,"47",Chamberlain,-78.6646115366398,35.7921757508607
"4539","371830510001010",-78.6598885494428,35.782857040924,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4540","371830510001007",-78.657397943314,35.7827559422541,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4541","371830510001007",-78.657397943314,35.7827559422541,"85",Fred Fletcher,-78.6494000908273,35.7925485438552
"4542","371830510001008",-78.6579811969551,35.7834696570716,"9",Compiegne,-78.6661994216203,35.7881857426524
"4543","371830510001008",-78.6579811969551,35.7834696570716,"47",Chamberlain,-78.6646115366398,35.7921757508607
"4544","371830510001008",-78.6579811969551,35.7834696570716,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4545","371830510001013",-78.653576825326,35.7790644627408,"110",Nash Square,-78.642675328997,35.7777350642707
"4546","371830510001008",-78.6579811969551,35.7834696570716,"85",Fred Fletcher,-78.6494000908273,35.7925485438552
"4547","371830510001009",-78.6595873892854,35.7842038603234,"47",Chamberlain,-78.6646115366398,35.7921757508607
"4548","371830510001009",-78.6595873892854,35.7842038603234,"115",Rose Garden & Raleigh Little Theatre,-78.6688821391459,35.7913339638428
"4549","371830510001009",-78.6595873892854,35.7842038603234,"31",Isabella Cannon,-78.6695813328298,35.7923957708782
"4550","371830510001009",-78.6595873892854,35.7842038603234,"85",Fred Fletcher,-78.6494000908273,35.7925485438552
"4551","371830510001009",-78.6595873892854,35.7842038603234,"151",Latta Property,-78.6630189050127,35.7964045396054
"4552","371830510001010",-78.6598885494428,35.782857040924,"9",Compiegne,-78.6661994216203,35.7881857426524
"4553","371830510001010",-78.6598885494428,35.782857040924,"47",Chamberlain,-78.6646115366398,35.7921757508607
"4554","371830510001010",-78.6598885494428,35.782857040924,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4555","371830510001011",-78.6592320000524,35.7821451078466,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4556","371830510001011",-78.6592320000524,35.7821451078466,"9",Compiegne,-78.6661994216203,35.7881857426524
"4557","371830510001011",-78.6592320000524,35.7821451078466,"47",Chamberlain,-78.6646115366398,35.7921757508607
"4558","371830510001020",-78.6484362192769,35.7793098958983,"164",City Plaza,-78.6394171776381,35.7743682431217
"4559","371830510001011",-78.6592320000524,35.7821451078466,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4560","371830510001012",-78.6582218062152,35.7813317607613,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4561","371830510001012",-78.6582218062152,35.7813317607613,"9",Compiegne,-78.6661994216203,35.7881857426524
"4562","371830510001012",-78.6582218062152,35.7813317607613,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4563","371830510001012",-78.6582218062152,35.7813317607613,"47",Chamberlain,-78.6646115366398,35.7921757508607
"4564","371830510001013",-78.653576825326,35.7790644627408,"32",Pullen,-78.663684359216,35.7806932094946
"4565","371830510001013",-78.653576825326,35.7790644627408,"8",Lenoir Street,-78.6487520483036,35.7735459886
"4566","371830510001013",-78.653576825326,35.7790644627408,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4567","371830510001013",-78.653576825326,35.7790644627408,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4568","371830510001013",-78.653576825326,35.7790644627408,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"4569","371830510001013",-78.653576825326,35.7790644627408,"201",Market Plaza,-78.6387365990624,35.777261555425
"4570","371830510001014",-78.6508721734729,35.7789298064615,"8",Lenoir Street,-78.6487520483036,35.7735459886
"4571","371830510002019",-78.6524830154553,35.7741111258805,"164",City Plaza,-78.6394171776381,35.7743682431217
"4572","371830510001014",-78.6508721734729,35.7789298064615,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4573","371830510001014",-78.6508721734729,35.7789298064615,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"4574","371830510001014",-78.6508721734729,35.7789298064615,"201",Market Plaza,-78.6387365990624,35.777261555425
"4575","371830510001014",-78.6508721734729,35.7789298064615,"138",Moore Square,-78.6357914989622,35.7775077730582
"4576","371830510001014",-78.6508721734729,35.7789298064615,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4577","371830510001014",-78.6508721734729,35.7789298064615,"32",Pullen,-78.663684359216,35.7806932094946
"4578","371830510001014",-78.6508721734729,35.7789298064615,"164",City Plaza,-78.6394171776381,35.7743682431217
"4579","371830510001014",-78.6508721734729,35.7789298064615,"132",New Bern Place,-78.6354632662129,35.7800577635566
"4580","371830510001014",-78.6508721734729,35.7789298064615,"85",Fred Fletcher,-78.6494000908273,35.7925485438552
"4581","371830527043013",-78.5902084955375,35.8401364525703,"84",Brentwood,-78.5990616784225,35.8287328944092
"4582","371830510001015",-78.655763221,35.7802115854561,"32",Pullen,-78.663684359216,35.7806932094946
"4583","371830510001015",-78.655763221,35.7802115854561,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4584","371830510001015",-78.655763221,35.7802115854561,"110",Nash Square,-78.642675328997,35.7777350642707
"4585","371830510001015",-78.655763221,35.7802115854561,"9",Compiegne,-78.6661994216203,35.7881857426524
"4586","371830510001015",-78.655763221,35.7802115854561,"8",Lenoir Street,-78.6487520483036,35.7735459886
"4587","371830510001016",-78.6529509874637,35.7796225329512,"110",Nash Square,-78.642675328997,35.7777350642707
"4588","371830510001021",-78.6474376328168,35.7790915597549,"85",Fred Fletcher,-78.6494000908273,35.7925485438552
"4589","371830510001016",-78.6529509874637,35.7796225329512,"32",Pullen,-78.663684359216,35.7806932094946
"4590","371830510001016",-78.6529509874637,35.7796225329512,"8",Lenoir Street,-78.6487520483036,35.7735459886
"4591","371830510001016",-78.6529509874637,35.7796225329512,"107",Edna Metz Wells,-78.6553565601995,35.7881516453065
"4592","371830510001016",-78.6529509874637,35.7796225329512,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4593","371830510001016",-78.6529509874637,35.7796225329512,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
"4594","371830510001016",-78.6529509874637,35.7796225329512,"201",Market Plaza,-78.6387365990624,35.777261555425
"4595","371830510001016",-78.6529509874637,35.7796225329512,"138",Moore Square,-78.6357914989622,35.7775077730582
"4596","371830510001017",-78.6515292758849,35.7789568281666,"8",Lenoir Street,-78.6487520483036,35.7735459886
"4597","371830527061028",-78.5934237161691,35.8143627946528,"119",Hill Street,-78.5912497354492,35.8132883160044
"4598","371830510001017",-78.6515292758849,35.7789568281666,"176",Dorothea Dix Park,-78.6553965232265,35.7677925557013
"4599","371830510001017",-78.6515292758849,35.7789568281666,"200",Exchange Plaza,-78.6387214126288,35.7775279153207
